cost_price,regular_price,regular_volume,regular_pe
72.0,0.0,0.0,1.0
84.0,135.0,300.0,0.0
180.0,300.0,200.0,-0.27272727272727276
29.0,50.0,280.0,-0.47999999999999987
94.0,200.0,300.0,0.023809523809523798
91.0,180.0,230.0,2.3333333333333335
94.0,200.0,120.0,-4.304347826086954
29.0,50.0,240.0,-1.3333333333333333
92.0,205.0,30.0,-0.28225806451612906
84.0,135.0,270.0,-23.42857142857143
91.0,180.0,270.0,0.0
105.0,220.0,10.0,-4.333333333333331
180.0,300.0,200.0,52.250000000000014
72.0,0.0,0.0,1.0
92.0,205.0,20.0,0.0
86.0,135.0,280.0,-38.07142857142858
73.0,0.0,0.0,1.0
180.0,300.0,250.0,0.0
91.0,180.0,140.0,1.0999999999999999
29.0,50.0,40.0,0.989010989010989
95.0,200.0,230.0,1.5833333333333333
73.0,0.0,0.0,1.0
91.0,135.0,240.0,0.0
29.0,0.0,0.0,1.0
180.0,300.0,290.0,0.0
50.0,180.0,30.0,2.2413793103448274
91.0,180.0,130.0,0.0
95.0,200.0,170.0,2.7692307692307683
95.0,200.0,140.0,0.0
180.0,300.0,290.0,2.1428571428571432
92.0,205.0,60.0,2.50453720508167
91.0,180.0,110.0,-6.833333333333333
29.0,0.0,0.0,1.0
73.0,140.0,90.0,0.0
91.0,135.0,10.0,24.8888888888889
50.0,180.0,40.0,9.000000000000002
105.0,220.0,20.0,-2.249999999999999
92.0,205.0,10.0,7.333333333333328
91.0,0.0,0.0,1.0
29.0,0.0,0.0,0.0
50.0,180.0,30.0,0.0
180.0,0.0,0.0,1.0
91.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
73.0,140.0,60.0,0.0
92.0,205.0,10.0,-1.7948717948717954
91.0,0.0,0.0,1.0
180.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0
105.0,220.0,20.0,0.0
91.0,0.0,0.0,1.0
73.0,140.0,60.0,0.0
50.0,180.0,10.0,-2.9166666666666656
29.0,0.0,0.0,1.0
92.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0
92.0,205.0,20.0,0.0
73.0,140.0,220.0,-31.538461538461544
105.0,220.0,10.0,-1.6704545454545456
95.0,0.0,0.0,1.0
73.0,140.0,60.0,0.0
180.0,300.0,80.0,0.29166666666666663
50.0,180.0,10.0,2.1875
92.0,135.0,140.0,-52.0
92.0,0.0,0.0,1.0
29.0,50.0,40.0,0.0
91.0,0.0,0.0,1.0
73.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
50.0,180.0,20.0,0.0
105.0,220.0,30.0,2.249999999999999
92.0,135.0,540.0,-44.0
29.0,50.0,150.0,1.1470588235294117
92.0,0.0,0.0,1.0
180.0,300.0,390.0,0.0
96.0,0.0,0.0,1.0
180.0,300.0,480.0,0.0
29.0,50.0,240.0,0.6
91.0,0.0,0.0,1.0
73.0,0.0,0.0,0.0
50.0,180.0,30.0,0.0
97.0,0.0,0.0,1.0
92.0,147.0,300.0,0.0
92.0,0.0,0.0,1.0
105.0,220.0,20.0,0.0
181.0,300.0,220.0,27.500000000000007
29.0,50.0,330.0,-0.6
98.0,0.0,0.0,1.0
50.0,180.0,70.0,0.0
92.0,0.0,0.0,1.0
73.0,0.0,0.0,0.0
92.0,147.0,500.0,0.0
91.0,0.0,0.0,1.0
105.0,220.0,20.0,0.0
91.0,180.0,170.0,-41.250000000000014
181.0,300.0,130.0,-0.35294117647058826
29.0,50.0,270.0,-1.2923076923076924
98.0,200.0,100.0,-0.20987654320987656
92.0,205.0,10.0,-36.00000000000013
73.0,140.0,40.0,-9.461538461538463
50.0,180.0,20.0,-1.7499999999999993
92.0,150.0,330.0,-93.00000000000001
92.0,205.0,50.0,-2.3140495867768593
92.0,0.0,0.0,1.0
98.0,0.0,0.0,0.0
182.0,0.0,0.0,0.0
91.0,0.0,0.0,0.0
74.0,140.0,50.0,0.0
105.0,220.0,10.0,-1.4000000000000001
